"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","SERVICE AREA ID","SERVICE AREA NAME","COVER ENTIRE STATE",COUNTY,"COUNTY NAME","PARTIAL COUNTY","ZIP CODE","PARTIAL COUNTY JUSTIFICATION","MARKET COVERAGE","DENTAL PLAN ONLY"
2024,ME,48396,SERFF,1,02-12-2024,MES005,"Anthem Health Plans of ME(Anthem BCBS)03",false,"Piscataquis - 23021",Piscataquis,false,,,Individual,Yes
2024,ME,48396,SERFF,1,02-12-2024,MES006,"Anthem Health Plans of ME(Anthem BCBS)04",false,"Hancock - 23009",Hancock,false,,,Individual,No
2024,ME,48396,SERFF,1,02-12-2024,MES006,"Anthem Health Plans of ME(Anthem BCBS)04",false,"Aroostook - 23003",Aroostook,false,,,Individual,No
2024,ME,48396,SERFF,1,02-12-2024,MES006,"Anthem Health Plans of ME(Anthem BCBS)04",false,"Aroostook - 23003",Aroostook,false,,,Individual,Yes
2024,ME,48396,SERFF,1,02-12-2024,MES006,"Anthem Health Plans of ME(Anthem BCBS)04",false,"Hancock - 23009",Hancock,false,,,Individual,Yes
2024,ME,48396,SERFF,1,02-12-2024,MES006,"Anthem Health Plans of ME(Anthem BCBS)04",false,"Washington - 23029",Washington,false,,,Individual,No
2024,ME,48396,SERFF,1,02-12-2024,MES006,"Anthem Health Plans of ME(Anthem BCBS)04",false,"Washington - 23029",Washington,false,,,Individual,Yes
2024,ME,48396,SERFF,1,02-12-2024,MES008,"Anthem Health Plans of ME(Anthem BCBS) IND Dental",true,,,,,,Individual,Yes
2024,ME,48396,SERFF,1,02-12-2024,MES008,"Anthem Health Plans of ME(Anthem BCBS) IND Dental",true,,,,,,Individual,No
2024,ME,50165,SERFF,1,02-12-2024,MES001,"Dental Service Area One",true,,,,,,Individual,Yes
2024,ME,54879,SERFF,1,02-12-2024,MES001,"Taro Maine Service Area",false,"Cumberland - 23005",Cumberland,false,,,Individual,No
2024,ME,54879,SERFF,1,02-12-2024,MES001,"Taro Maine Service Area",false,"Sagadahoc - 23023",Sagadahoc,false,,,Individual,No
2024,ME,54879,SERFF,1,02-12-2024,MES001,"Taro Maine Service Area",false,"Lincoln - 23015",Lincoln,false,,,Individual,No
2024,ME,54879,SERFF,1,02-12-2024,MES001,"Taro Maine Service Area",false,"York - 23031",York,false,,,Individual,No
2024,ME,96667,SERFF,1,02-12-2024,MES001,"Full State",true,,,,,,Individual,No
2024,ME,96667,SERFF,1,02-12-2024,MES002,"Maine's Choice Plus",false,"Androscoggin - 23001",Androscoggin,false,,,Individual,No
2024,ME,96667,SERFF,1,02-12-2024,MES002,"Maine's Choice Plus",false,"Franklin - 23007",Franklin,false,,,Individual,No
2024,ME,96667,SERFF,1,02-12-2024,MES002,"Maine's Choice Plus",false,"Knox - 23013",Knox,false,,,Individual,No
2024,ME,96667,SERFF,1,02-12-2024,MES002,"Maine's Choice Plus",false,"Waldo - 23027",Waldo,false,,,Individual,No
2024,ME,96667,SERFF,1,02-12-2024,MES002,"Maine's Choice Plus",false,"Kennebec - 23011",Kennebec,false,,,Individual,No
2024,ME,96667,SERFF,1,02-12-2024,MES002,"Maine's Choice Plus",false,"Sagadahoc - 23023",Sagadahoc,false,,,Individual,No
2024,ME,96667,SERFF,1,02-12-2024,MES002,"Maine's Choice Plus",false,"Oxford - 23017",Oxford,false,,,Individual,No
2024,ME,96667,SERFF,1,02-12-2024,MES002,"Maine's Choice Plus",false,"York - 23031",York,false,,,Individual,No
2024,ME,96667,SERFF,1,02-12-2024,MES002,"Maine's Choice Plus",false,"Lincoln - 23015",Lincoln,false,,,Individual,No
2024,ME,96667,SERFF,1,02-12-2024,MES002,"Maine's Choice Plus",false,"Cumberland - 23005",Cumberland,false,,,Individual,No
2024,ME,96667,SERFF,1,02-12-2024,MES003,"HMO HSA",false,"Washington - 23029",Washington,false,,,Individual,No
2024,ME,96667,SERFF,1,02-12-2024,MES003,"HMO HSA",false,"Hancock - 23009",Hancock,false,,,Individual,No
2024,ME,96667,SERFF,1,02-12-2024,MES003,"HMO HSA",false,"Somerset - 23025",Somerset,false,,,Individual,No
2024,ME,96667,SERFF,1,02-12-2024,MES003,"HMO HSA",false,"Aroostook - 23003",Aroostook,false,,,Individual,No
2024,ME,96667,SERFF,1,02-12-2024,MES003,"HMO HSA",false,"Penobscot - 23019",Penobscot,false,,,Individual,No
2024,ME,96667,SERFF,1,02-12-2024,MES003,"HMO HSA",false,"Piscataquis - 23021",Piscataquis,false,,,Individual,No
